*SOM N DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.7.2.000 -release      OCT 15, 2021; 17:59:33
                                                                                
*RUN   1        :             CSM335_date_1 MZCER047 ITSA1301    1              
 MODEL          : MZCER047 - Maize                                              
 EXPERIMENT     : ITSA1301 SG CALIBRATION SETUP OF SORGHUM SOWING DATES         
 DATA PATH      :                                                               
 TREATMENT  1   :             CSM335_date_1 MZCER047                            
  
!                                                                                                                                                                                                                                                                                                                                                                                                                                                Cumul.
!               <---- SOM N in top layers ----> <---------------- Total Soil Organic Nitrogen ----------------> <-------- Active Soil Organic Nitrogen (SOM1) --------> <---- Intermediate Soil Organic N (SOM2) -----> <------- Passive Soil Organic N (SOM3) -------> <----------------- Litter Nitrogen -------------------> <------------- Metabolic Litter Nitrogen -------------> <------------ Structural Litter Nitrogen ------------->  Res. N
!               20cm-kg  20cm-% 40cm-kg  40cm-%   Total Surface    Soil     0-5    5-15   15-30   30-60  60-120 Surface    Soil     0-5    5-15   15-30   30-60  60-120    Soil     0-5    5-15   15-30   30-60  60-120    Soil     0-5    5-15   15-30   30-60  60-120 Surface    Soil     0-5    5-15   15-30   30-60  60-120 Surface    Soil     0-5    5-15   15-30   30-60  60-120 Surface    Soil     0-5    5-15   15-30   30-60  60-120 (kg/ha)
@YEAR DOY   DAS  SNS20D  SN%20D  SNS40D  SN%40D    SOND    SN0D    SNTD    SN1D    SN2D    SN3D    SN4D   SN5+D   S1N0D   S1NTD   S1N1D   S1N2D   S1N3D   S1N4D  S1N5+D   S2NTD   S2N1D   S2N2D   S2N3D   S2N4D  S2N5+D   S3NTD   S3N1D   S3N2D   S3N3D   S3N4D  S3N5+D    LN0D    LNTD    LN1D    LN2D    LN3D    LN4D   LN5+D   MEN0D   MENTD   MEN1D   MEN2D   MEN3D   MEN4D  MEN5+D   STN0D   STNTD   STN1D   STN2D   STN3D   STN4D  STN5+D   RESNC
 2009 156     0    3529   0.106    2698   0.081   13704       0   13704     882    1765    2649    2800    5608       0     203      33      66      98       2       4    2266     366     733    1100      22      44   11230     483     966    1449    2775    5559    0.00    4.50    0.56    0.93    1.02    1.17    0.81    0.00    4.11    0.51    0.85    0.94    1.07    0.74    0.00    0.39    0.05    0.08    0.09    0.10    0.07       0
 2009 157     1    3527   0.106    2697   0.081   13701       0   13701     882    1764    2647    2800    5608       0     200      32      65      97       2       4    2266     366     733    1100      22      44   11230     483     966    1449    2775    5559    0.00    4.30    0.53    0.89    0.98    1.12    0.78    0.00    3.91    0.48    0.81    0.89    1.02    0.71    0.00    0.39    0.05    0.08    0.09    0.10    0.07       0
 2009 158     2    3524   0.106    2696   0.081   13697       0   13697     881    1763    2646    2800    5608       0     198      32      64      96       2       4    2265     366     733    1100      22      44   11230     483     966    1449    2775    5558    0.00    4.09    0.50    0.84    0.94    1.07    0.75    0.00    3.70    0.45    0.76    0.85    0.97    0.68    0.00    0.39    0.05    0.08    0.09    0.10    0.07       0
 2009 159     3    3522   0.106    2695   0.081   13694       0   13694     880    1761    2645    2800    5608       0     195      31      63      95       2       4    2264     366     732    1100      22      44   11230     483     966    1449    2774    5558    0.00    3.89    0.46    0.78    0.90    1.03    0.72    0.00    3.50    0.41    0.70    0.81    0.93    0.65    0.00    0.39    0.05    0.08    0.09    0.10    0.07       0
 2009 160     4    3519   0.106    2695   0.081   13690       0   13690     879    1760    2643    2800    5607       0     193      31      62      94       2       4    2264     366     732    1099      22      44   11230     483     966    1449    2774    5558    0.00    3.72    0.43    0.74    0.87    0.99    0.69    0.00    3.33    0.38    0.66    0.78    0.89    0.62    0.00    0.39    0.05    0.08    0.09    0.10    0.07       0
 2009 161     5    3517   0.106    2694   0.081   13687       0   13687     879    1759    2642    2800    5607       0     190      30      61      93       2       4    2263     366     732    1099      22      44   11230     483     966    1449    2774    5558    0.00    3.56    0.41    0.70    0.83    0.95    0.67    0.00    3.17    0.36    0.62    0.75    0.85    0.60    0.00    0.39    0.05    0.08    0.09    0.10    0.07       0
 2009 162     6    3515   0.106    2693   0.081   13684       0   13684     879    1758    2641    2800    5607       0     188      30      60      92       2       4    2263     366     732    1099      22      44   11230     483     966    1449    2774    5558    0.00    3.41    0.39    0.66    0.80    0.92    0.64    0.00    3.03    0.34    0.58    0.71    0.82    0.57    0.00    0.39    0.05    0.08    0.09    0.10    0.07       0
 2009 163     7    3513   0.106    2692   0.081   13680       0   13680     878    1757    2639    2800    5607       0     185      29      59      91       2       4    2262     366     732    1099      22      44   11230     483     966    1449    2774    5558    0.00    3.23    0.37    0.62    0.75    0.88    0.62    0.00    2.85    0.32    0.54    0.66    0.78    0.55    0.00    0.38    0.05    0.08    0.09    0.10    0.07       0
 2009 164     8    3511   0.106    2691   0.081   13677       0   13677     877    1756    2637    2800    5607       0     182      29      58      89       2       4    2261     365     731    1098      22      44   11230     483     966    1449    2774    5558    0.00    3.07    0.35    0.58    0.70    0.84    0.60    0.00    2.68    0.30    0.50    0.61    0.74    0.53    0.00    0.38    0.05    0.08    0.09    0.10    0.07       0
 2009 165     9    3508   0.106    2689   0.081   13673       0   13673     877    1754    2635    2800    5607       0     179      29      57      88       2       4    2261     365     731    1098      22      44   11230     483     966    1449    2774    5558    0.00    2.89    0.33    0.54    0.65    0.80    0.58    0.00    2.51    0.28    0.46    0.56    0.70    0.51    0.00    0.38    0.05    0.08    0.09    0.10    0.07       0
 2009 166    10    3506   0.106    2688   0.081   13669       0   13669     876    1753    2633    2799    5607       0     177      28      56      86       2       4    2260     365     731    1097      22      44   11230     483     966    1449    2774    5558    0.00    2.74    0.31    0.51    0.61    0.75    0.56    0.00    2.36    0.26    0.43    0.52    0.66    0.49    0.00    0.38    0.05    0.08    0.09    0.10    0.07       0
 2009 167    11    3504   0.106    2687   0.081   13666       0   13666     876    1752    2632    2799    5607       0     174      28      55      85       2       4    2259     365     731    1097      22      44   11229     483     966    1449    2774    5558    0.00    2.60    0.29    0.48    0.57    0.71    0.54    0.00    2.22    0.24    0.40    0.49    0.61    0.47    0.00    0.38    0.05    0.08    0.09    0.10    0.07       0
